"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3956.98686449761/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x7c38dabe1c30d827dfeef1d41b26d7db8d086211a8af777c0e1f09c3a6df3e7f","21380360","1733933339","2024-12-11 16:08:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0","0","0.002256639623530656","8.92949334821564","3834.97","","","Cancel"
"0x1d871b3c2f50a95c016b4a9b938f404fa91a7c42ac73772404a90f4c05eea06e","21380363","1733933375","2024-12-11 16:09:35","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5","","0","0","0","0.00219576993266023","8.68863278099533","3834.97","","","Cancel Trades"
"0xa5331552041b38a9be9480a059cd5ae61da2810a67a5c233e16a20d1a02b16a9","21380367","1733933423","2024-12-11 16:10:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0","0","0.001299416290427975","5.14177319273771","3834.97","","","Withdraw"
"0xb46ec2cb81694b40d714bdff0ad1538a0dd15b427c41977001f4a1fa93f1b516","21380470","1733934659","2024-12-11 16:30:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0.5","1978.4934322488","0.001365401266441282","5.40287487607655","3834.97","","","Deposit"
"0x2be7ea8918f40b83e1f99b0a83deb179ba7dbb74c8e1fc58614a9989d10b75d3","21383015","1733965367","2024-12-12 01:02:47","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0.41","1622.36461444402","0.00081609521555432","3.22927804812779","3882.65","","","Deposit"
"0xcbb41465511d82d71e8d4cddc4af242d20f3984fceeb608d07d58e312073e958","21390716","1734058259","2024-12-13 02:50:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0","0","0.000494839726977075","1.95807429967987","3907.67","","","Withdraw"
"0xac6777fb44ba6d99f55c7faf1a23a5394aaf0d88b5c1eae1c42051d30049e242","21394961","1734109439","2024-12-13 17:03:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0.5","1978.4934322488","0.00137225384560135","5.42999044180087","3907.67","","","Deposit"
"0xbdc385d4c828f97ba526eae625c5a2f207659f32666a4ea4dc12ae5fa7cc79b4","21395158","1734111803","2024-12-13 17:43:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.000690058200975088","2.73055123699728","3907.67","","","Withdraw"
"0x1c93cfc2d8f0428b745e1daeb35d50fa5db0295bc68bd800961c6a92f0084c59","21395169","1734111935","2024-12-13 17:45:35","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0.38","1503.65500850909","0.000719881492192295","2.84856160859985","3907.67","","","Deposit"
"0x503f2623d2a18b5a1ce74bf713a4ee692ba78dfd2eac6e5bef4f46a7c7b686d2","21395201","1734112319","2024-12-13 17:51:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0.44","1741.07422037895","0.00101983870268217","4.03548835041963","3907.67","","","Deposit"
"0x04a0430e2b979b09943c58403b4577357d9f9f63904ed44d9fa283fdd88663ea","21395657","1734117815","2024-12-13 19:23:35","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.000515388329869776","2.03938485141006","3907.67","","","Withdraw"
"0xc969a44c483ed567788b0cf4b89ddd1fdd5b19883f6bf8fde781e9a546384200","21395661","1734117863","2024-12-13 19:24:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0.06","237.419211869857","0.000536951761340135","2.12471106649177","3907.67","","","Deposit"
"0xf3489d35c8ca057fb62de5ee03673942364c289ade51bbf897b6c0d30dff79ca","21398369","1734150527","2024-12-14 04:28:47","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0.6","2374.19211869857","0.000559053244179276","2.21216634377217","3869.58","","","Deposit"
"0xe6680adce3ceb8950d51070318abc9dead3c25738937c80096d3cf3de9d30127","21398488","1734151979","2024-12-14 04:52:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000a39bb272e79075ade125fd351887ac","","0","0","0","0.0004126239350709","1.63274749105287","3869.58","","","Withdraw"
